Trial,RunNumber,TrialOnset,CueType,CueOffset,FixationDuration,FixationOnset,Calibration,TargetOnset,ReactionTime,FeedbackOnset,FeedbackValue,TrialEnd,OriginalITI,ExcessTime,AdjustedITI,IsWin,EndITItime,EarlyHit,CumulativeBlockTotal,TriggerTimestamp,LeadInStart,LeadOut
24,1,273.520144963986,7,275.532263907022,3,275.548264398996,0.36,278.551379908982,0.222976784047205,279.568807274976,3,281.58213956299,6,0.0722083059954457,5.92779169400455,1,287.510296536027,0,13,263427.976914845,0.0521285110153258,NaN
25,1,287.523180622025,6,289.532489077013,1.5,289.548234239977,0.34,291.054352332023,0.242898488999344,292.065309858008,1,294.082378013001,2,0.0724499669740908,1.92755003302591,1,296.010179374018,0,14,263427.976914845,0.0521285110153258,NaN
26,1,296.021213439002,8,298.033067400975,5,298.048132098978,0.32,303.055699001998,0.438182245008647,304.064913014998,0,306.082790328015,2,0.0728591659571975,1.9271408340428,0,308.010705046996,0,14,263427.976914845,0.0521285110153258,NaN
27,1,308.021228029975,9,310.031560258009,2.5,310.048004748998,0.32,312.552316365007,0.267160949995741,313.569567777973,7,315.582388168026,6,0.0724600799730979,5.9275399200269,1,321.510914461978,0,21,263427.976914845,0.0521285110153258,NaN
28,1,321.519860548025,10,323.531648978009,2.5,323.547764836985,0.3,326.052658784029,0.237248798948713,327.072413927992,9,329.081872651994,6,0.0719414459890686,5.92805855401093,1,335.010498309974,0,30,263427.976914845,0.0521285110153258,NaN
29,1,335.021529759979,3,337.032120482996,2.5,337.047597026976,0.28,339.553286459006,0.227045198029373,340.572317957995,0,342.581481990987,4,0.071553892979864,3.92844610702014,1,346.510276119981,0,30,263427.976914845,0.0521285110153258,NaN
30,1,346.521016379993,4,348.531072355981,4.5,348.547286458022,0.26,353.053133261972,0.231237103987951,354.072110073001,0,356.081091114029,2,0.0711593399755657,1.92884066002443,1,358.010666669987,0,30,263427.976914845,0.0521285110153258,NaN
31,1,358.021177690011,5,360.031759073026,1,360.047289925977,0.24,361.055770959007,0.276123444957193,362.065435523982,-9,364.081067206978,6,0.0711374320089817,5.92886256799102,0,370.010402592015,0,21,263427.976914845,0.0521285110153258,NaN
32,1,370.021423104976,4,372.032030383009,2.5,372.047141949006,0.24,374.550250119995,0.18812592397444,375.570200505026,0,377.581258511986,6,0.0713300890056416,5.92866991099436,1,383.509964095021,0,21,263427.976914845,0.0521285110153258,NaN
33,1,383.519492298015,10,385.531255710986,3.5,385.546975551988,0.22,389.057777355018,0.201860563014634,390.070015274978,9,392.080107585003,4,0.0701764179975726,3.92982358200243,1,396.010611532023,0,30,263427.976914845,0.0521285110153258,NaN
34,1,396.018742214015,1,398.030765715986,5,398.04681007599,0.2,403.049316458986,0.247474251023959,404.066442697018,-1,406.080469222972,2,0.0705319769913331,1.92946802300867,0,408.010085681977,0,29,263427.976914845,0.0521285110153258,NaN
35,1,408.021078168997,8,410.03125065699,1,410.04659755202,0.2,411.047625772015,0.426088240987156,412.065647409006,0,414.081360791984,4,0.0714289709576406,3.92857102904236,0,418.010701540974,0,29,263427.976914845,0.0521285110153258,NaN
36,1,418.020633595006,6,420.029852366017,4,420.046483160986,0.22,424.054853726004,0.260905354982242,425.068906170025,0,427.080373944016,4,0.0704428220051341,3.92955717799487,0,431.01006126299,0,29,263427.976914845,0.0521285110153258,NaN
37,1,431.021186114987,9,433.030438448011,4,433.04630817601,0.24,437.047045795014,0.255986621952616,438.065515840019,0,440.080451625981,2,0.0705206199781969,1.9294793800218,0,442.010708150978,0,29,263427.976914845,0.0521285110153258,NaN
38,1,442.021611450007,3,444.031274900015,2,444.046333445003,0.26,446.049922744976,0.231507969030645,447.067916632979,0,449.080014586973,4,0.070085572951939,3.92991442704806,1,453.01101125899,0,29,263427.976914845,0.0521285110153258,NaN
39,1,453.022163335001,2,455.030746131029,3.5,455.046060817025,0.26,458.548369682976,0.255943085998297,459.565511848021,0,461.579985780991,2,0.0700547359883785,1.92994526401162,1,463.510025520984,0,29,263427.976914845,0.0521285110153258,NaN
40,1,463.521078954975,7,465.529880716989,4,465.545766405005,0.26,469.548667818017,0.404510912019759,470.562632697984,0,472.579287506,2,0.0693594559561461,1.93064054404385,0,474.510789246997,0,29,263427.976914845,0.0521285110153258,NaN
41,1,474.521843076975,8,476.529627624026,4,476.545581660001,0.28,480.545705945988,0.260518471011892,481.562351963017,5,483.579951942025,4,0.0700208519701846,3.92997914802982,1,487.510499008989,0,34,263427.976914845,0.0521285110153258,NaN
42,1,487.521367953974,9,489.53048831498,2.5,489.545560970029,0.28,492.048810244014,0.252591551048681,493.067893125,7,495.079934337002,6,0.0700053089531139,5.92999469104689,1,501.010107193026,0,41,263427.976914845,0.0521285110153258,NaN
43,1,501.019844783004,2,503.030056019023,5,503.045552294992,0.28,508.051661379985,0.216119486023672,509.068265505019,0,511.080059659027,4,0.0701285309623927,3.92987146903761,1,515.010663053021,0,41,263427.976914845,0.0521285110153258,NaN
44,1,515.02167402202,10,517.029650733981,3.5,517.045311237976,0.28,520.54686342302,0.222833282023203,521.569585882011,9,523.578813622997,6,0.0688822229858488,5.93111777701415,1,529.510859920003,0,50,263427.976914845,0.0521285110153258,NaN
45,1,529.523241435003,3,531.530525540991,4.5,531.545184788993,0.28,536.054220878985,0.266862879041582,537.070840117987,0,539.078404256026,6,0.0684760349686258,5.93152396503137,1,545.010737976991,0,50,263427.976914845,0.0521285110153258,553.136048329005
46,2,5.01097029994708,7,7.0306391279446,5,7.04656136198901,0.28,12.0539629079867,0.281368400028441,13.0712796529988,0,15.0814450919861,6,0.0724783680052496,5.92752163199475,0,21.0090690069483,0,0,264082.630216355,0.029716215969529,NaN
